borough,building_class_category,gross_square_feet,sale_price,sale_date,building_class_8
3,02 TWO FAMILY DWELLINGS,3300,1800000,2025-06-04,TwoFamily
3,03 THREE FAMILY DWELLINGS,2640,24000000,2025-09-18,ThreeFamily
5,01 ONE FAMILY DWELLINGS,1480,480000,2025-06-30,OneFamily
2,02 TWO FAMILY DWELLINGS,1472,999000,2025-03-18,TwoFamily
2,29 COMMERCIAL GARAGES,24228,3500000,2025-02-12,Commercial
5,02 TWO FAMILY DWELLINGS,4100,1455000,2025-01-07,TwoFamily
1,03 THREE FAMILY DWELLINGS,5945,1999900,2025-10-01,ThreeFamily
4,01 ONE FAMILY DWELLINGS,1248,350000,2025-01-27,OneFamily
4,01 ONE FAMILY DWELLINGS,1248,915000,2025-06-26,OneFamily
5,01 ONE FAMILY DWELLINGS,3284,450000,2024-11-15,OneFamily
4,01 ONE FAMILY DWELLINGS,1632,670000,2025-05-02,OneFamily
4,02 TWO FAMILY DWELLINGS,2400,1068000,2025-02-06,TwoFamily
1,08 RENTALS - ELEVATOR APARTMENTS,29987,50000000,2025-02-28,ElevatorApt
5,01 ONE FAMILY DWELLINGS,1248,526000,2025-05-23,OneFamily
3,01 ONE FAMILY DWELLINGS,976,2195000,2025-07-16,OneFamily
2,01 ONE FAMILY DWELLINGS,1188,450000,2025-05-12,OneFamily
1,14 RENTALS - 4-10 UNIT,3357,5700000,2025-06-12,Other
3,02 TWO FAMILY DWELLINGS,2400,1645000,2025-07-11,TwoFamily
5,01 ONE FAMILY DWELLINGS,1380,560000,2024-11-01,OneFamily
5,01 ONE FAMILY DWELLINGS,1380,585000,2025-01-06,OneFamily
1,01 ONE FAMILY DWELLINGS,2640,8000000,2025-03-10,OneFamily
5,01 ONE FAMILY DWELLINGS,1438,499999,2024-12-31,OneFamily
4,01 ONE FAMILY DWELLINGS,732,622200,2025-07-09,OneFamily
1,22 STORE BUILDINGS,2448,62588500,2025-10-21,Commercial
3,03 THREE FAMILY DWELLINGS,2560,2262500,2025-01-10,ThreeFamily
1,22 STORE BUILDINGS,2400,830000,2024-11-04,Commercial
2,01 ONE FAMILY DWELLINGS,1440,520000,2025-02-12,OneFamily
3,02 TWO FAMILY DWELLINGS,1500,1600000,2025-02-03,TwoFamily
3,02 TWO FAMILY DWELLINGS,2625,1900000,2025-08-11,TwoFamily
4,01 ONE FAMILY DWELLINGS,525,390000,2025-08-13,OneFamily
4,01 ONE FAMILY DWELLINGS,525,290000,2025-07-11,OneFamily
4,01 ONE FAMILY DWELLINGS,1632,925000,2025-10-07,OneFamily
3,02 TWO FAMILY DWELLINGS,1584,800000,2025-05-06,TwoFamily
3,07 RENTALS - WALKUP APARTMENTS,3135,10670376,2025-06-13,WalkupApt
4,03 THREE FAMILY DWELLINGS,2869,1480000,2025-08-12,ThreeFamily
1,03 THREE FAMILY DWELLINGS,2808,3165000,2025-01-15,ThreeFamily
3,07 RENTALS - WALKUP APARTMENTS,4160,1220800,2025-03-26,WalkupApt
5,01 ONE FAMILY DWELLINGS,1400,525000,2025-08-20,OneFamily
5,29 COMMERCIAL GARAGES,3600,495000,2025-02-03,Commercial
1,02 TWO FAMILY DWELLINGS,3240,2604204,2025-08-28,TwoFamily
1,02 TWO FAMILY DWELLINGS,3280,1863000,2024-12-23,TwoFamily
2,02 TWO FAMILY DWELLINGS,2910,770000,2025-02-28,TwoFamily
5,01 ONE FAMILY DWELLINGS,1350,590000,2024-11-25,OneFamily
4,37 RELIGIOUS FACILITIES,2040,964000,2024-12-04,Other
1,21 OFFICE BUILDINGS,210777,66244842,2025-10-10,Commercial
5,01 ONE FAMILY DWELLINGS,1300,2000000,2024-11-13,OneFamily
4,01 ONE FAMILY DWELLINGS,5506,7625000,2025-03-06,OneFamily
4,02 TWO FAMILY DWELLINGS,1152,2150000,2025-10-31,TwoFamily
2,29 COMMERCIAL GARAGES,24700,15000000,2025-01-23,Commercial
4,22 STORE BUILDINGS,7500,6200000,2025-08-26,Commercial
1,21 OFFICE BUILDINGS,238294,65500000,2024-11-14,Commercial
2,02 TWO FAMILY DWELLINGS,1412,545000,2024-11-08,TwoFamily
3,03 THREE FAMILY DWELLINGS,3060,4000000,2025-06-05,ThreeFamily
3,02 TWO FAMILY DWELLINGS,1920,670000,2025-09-17,TwoFamily
5,01 ONE FAMILY DWELLINGS,960,449000,2024-11-06,OneFamily
5,01 ONE FAMILY DWELLINGS,700,335000,2025-01-09,OneFamily
5,01 ONE FAMILY DWELLINGS,680,399998,2025-06-04,OneFamily
1,21 OFFICE BUILDINGS,101724,38000000,2025-02-10,Commercial
1,08 RENTALS - ELEVATOR APARTMENTS,51144,10400000,2024-11-15,ElevatorApt
3,08 RENTALS - ELEVATOR APARTMENTS,28358,20300000,2025-08-07,ElevatorApt
3,01 ONE FAMILY DWELLINGS,1674,2500000,2025-08-18,OneFamily
4,03 THREE FAMILY DWELLINGS,2036,1260000,2025-06-20,ThreeFamily
4,22 STORE BUILDINGS,3109,1200000,2025-05-30,Commercial
5,01 ONE FAMILY DWELLINGS,1900,610000,2025-08-19,OneFamily
1,37 RELIGIOUS FACILITIES,2775,1076000,2025-09-29,Other
1,01 ONE FAMILY DWELLINGS,3360,7100000,2024-11-19,OneFamily
3,03 THREE FAMILY DWELLINGS,3000,1600000,2025-10-27,ThreeFamily
3,02 TWO FAMILY DWELLINGS,2394,3620000,2025-02-28,TwoFamily
5,01 ONE FAMILY DWELLINGS,1365,600000,2025-09-17,OneFamily
4,01 ONE FAMILY DWELLINGS,1625,895000,2025-05-23,OneFamily
4,03 THREE FAMILY DWELLINGS,1376,980000,2025-09-11,ThreeFamily
1,02 TWO FAMILY DWELLINGS,3328,2250000,2025-07-11,TwoFamily
4,01 ONE FAMILY DWELLINGS,1024,768000,2025-07-28,OneFamily
5,01 ONE FAMILY DWELLINGS,756,603980,2025-03-26,OneFamily
3,22 STORE BUILDINGS,5310,3700000,2025-05-14,Commercial
2,21 OFFICE BUILDINGS,38964,4925012,2025-01-30,Commercial
1,07 RENTALS - WALKUP APARTMENTS,2097,550000,2025-07-24,WalkupApt
1,37 RELIGIOUS FACILITIES,2097,3500000,2025-04-30,Other
1,37 RELIGIOUS FACILITIES,2097,3500000,2025-04-30,Other
1,02 TWO FAMILY DWELLINGS,2400,1190000,2025-05-07,TwoFamily
1,08 RENTALS - ELEVATOR APARTMENTS,57415,19400000,2025-07-10,ElevatorApt
2,01 ONE FAMILY DWELLINGS,1400,805000,2025-05-13,OneFamily
2,03 THREE FAMILY DWELLINGS,2952,810000,2025-04-28,ThreeFamily
3,02 TWO FAMILY DWELLINGS,2445,4624000,2024-12-17,TwoFamily
3,03 THREE FAMILY DWELLINGS,2811,1575000,2025-10-31,ThreeFamily
3,02 TWO FAMILY DWELLINGS,2400,1825000,2025-02-07,TwoFamily
3,02 TWO FAMILY DWELLINGS,1404,789000,2025-09-30,TwoFamily
3,02 TWO FAMILY DWELLINGS,1534,1952500,2025-08-07,TwoFamily
3,02 TWO FAMILY DWELLINGS,1534,1450000,2025-05-29,TwoFamily
3,02 TWO FAMILY DWELLINGS,1764,600000,2025-06-05,TwoFamily
3,14 RENTALS - 4-10 UNIT,2625,3700000,2024-11-14,Other
4,01 ONE FAMILY DWELLINGS,898,550000,2025-03-10,OneFamily
4,02 TWO FAMILY DWELLINGS,2800,850000,2024-11-13,TwoFamily
1,21 OFFICE BUILDINGS,103178,68795174,2025-01-21,Commercial
2,08 RENTALS - ELEVATOR APARTMENTS,67500,5750000,2025-06-25,ElevatorApt
2,01 ONE FAMILY DWELLINGS,4630,2820000,2024-11-21,OneFamily
2,21 OFFICE BUILDINGS,50000,7991420,2025-01-15,Commercial
2,30 WAREHOUSES,12500,17100000,2025-10-12,Commercial
2,22 STORE BUILDINGS,20000,3950000,2025-08-26,Commercial
2,22 STORE BUILDINGS,6055,5080000,2025-08-28,Commercial
2,32 HOSPITAL AND HEALTH FACILITIES,59499,10780000,2025-03-10,Commercial
2,08 RENTALS - ELEVATOR APARTMENTS,42000,4214840,2025-05-16,ElevatorApt
4,07 RENTALS - WALKUP APARTMENTS,37948,8435000,2024-12-17,WalkupApt
